name,address,city,phone
MOTORLINE,WESTMINSTER ROAD,"CANTERBURY, CT1 1YY",01227 213941
CHARLES HURST,547 ANTRIM ROAD,"NEWTOWNABBEY, BT36 4RF",0844 649 0848
CITY MOTORS,CASTLE COURT,"BRISTOL, BS4 3AX",0117 972 3030
ARNOLD CLARK AUTOMOBILES LTD,172 DUNKELD ROAD,"PERTH, PH1 3XJ",01738 620877
PARK'S,HIGH ROAD,"AYR, KA8 0LL",01292 613000
MARTINS,LONDON ROAD,"BASINGSTOKE, RG24 7NZ",01256 867000
STONEACRE DONCASTER - Parts Only,UNIT 1 YORK ROAD,"DONCASTER, DN5 8TW",01302 517451
WILSONS EPSOM,NONSUCH BUSINESS PARK,"EPSOM, KT171DH",0203 846 3335
S.M.C.,168-170 OATLANDS DRIVE,"WEYBRIDGE, KT13 9ET",01932 855021
VOSPERS,MARSH MILLS RETAIL PARK,"PLYMOUTH, PL6 8AY",01752 636399
S.M.C.,WYCH HILL,"WOKING, GU22 0EU",01483 720322
S.M.C.,ASH ROAD,"ALDERSHOT, GU124HD",01252 367300
DONNELLY & TAGGART BALLYMENA,120 ANTRIM ROAD,"BALLYMENA, BT422HD",02825 649833
SUTTON PARK MOTOR COMPANY LIMITED,318 HOLBROOK LANE,"COVENTRY, CV6 4DG",02476 857132
BUDGEN MOTORS,STAFFORD PARK 1,"TELFORD, TF3 3BD",01952 947 444
MITCHELLS LOWESTOFT,50-58 LONG ROAD,"LOWESTOFT, NR33 9DQ",01502 500950
LEYSHON FLINT AND SONS,PEN-Y-FAI SERVICE STATION,"BRIDGEND, CF31 4LL",01656 649700
GLYN HOPKIN CHELMSFORD,6 BILTON ROAD,"CHELMSFORD, CM1 2UP",01245 768235
PENTAGON LOUGHBOROUGH,52 BELTON ROAD,"LOUGHBOROUGH, LE11 1NE",01509 860227
HARRATTS LIMITED,FRONT STREET,"PONTEFRACT, WF8 4DB",01977 700000
RENAULT CARDIFF,295 PENARTH ROAD,"CARDIFF, CF118UU",029 2148 0089
RICHARD SANDERS LIMITED,CLIFTONVILLE ROAD,"NORTHAMPTON, NN1 5BU",01604 235010
BROWN BROTHERS,EDINBURGH ROAD,"PEEBLES, EH458DF",01721 722000
O C DAVIES A'R MAB,MODURON PENPARC MOTORS,"CARDIGAN, SA43 1SB",01239 621757
RENAULT SWANSEA,FENDROD WAY,"SWANSEA, SA7 9DG",01792 692964
CALLOW MARSH,ROSS ROAD,"HEREFORD, HR2 8BT",01432 842000
FIVE ACRES,LOWER LANE,"COLEFORD, GL16 7QN",01594 839929
ARNOLD CLARK AUTOMOBILES LTD,DELPHWOOD DRIVE,"ST HELENS, WA9 5JE",01744 457000
EVANS HALSHAW,WHITE ROSE WAY,"DONCASTER, DN4 5JH",01302 363311
ARNOLD CLARK AUTOMOBILES LTD,HARBOUR ROAD,"INVERNESS, IV1 1LN",01463 222848
ARNOLD CLARK AUTOMOBILES LTD,GEMINI RETAIL PARK,"WARRINGTON, WA5 7TY",01925 575885
ARNOLD CLARK AUTOMOBILES LTD,2 LINKWOOD PLACE,"ELGIN, IV30 1HZ",01343 548383
ARNOLD CLARK AUTOMOBILES LTD,KERSE ROAD,"STIRLING, FK7 7RU",01786 472212
SUTTON PARK MOTOR COMPANY LIMITED,GAGARIN,"TAMWORTH, B79 7TP",01827 305080
ARNOLD CLARK AUTOMOBILES LTD,KINGSWAY EAST,"DUNDEE, DD4 7HG",01382 461199
ARNOLD CLARK AUTOMOBILES LTD,149 KILBIRNIE STREET,"GLASGOW, G5 8HX",0141 271 7440
ARNOLD CLARK AUTOMOBILES LTD,64 KIRKINTILLOCH ROAD,"GLASGOW, G64 2AH",0141 772 6481
MACKIE MOTORS (BRECHIN) LTD,46-48 CLERK STREET,"BRECHIN, DD9 6AY",01356 624511
PARK'S,228 HAMILTON ROAD,"MOTHERWELL, ML1 3DT",01698 264 162
ARNOLD CLARK AUTOMOBILES LTD,BEANCROSS ROAD,"GRANGEMOUTH, FK3 8YL",01324 495555
CHARLES HURST,547 ANTRIM ROAD,"NEWTOWNABBEY, BT36 4RF",0844 649 0848
CITY MOTORS,CASTLE COURT,"BRISTOL, BS4 3AX",0117 972 3030
ARNOLD CLARK AUTOMOBILES LTD,172 DUNKELD ROAD,"PERTH, PH1 3XJ",01738 620877
PARK'S,HIGH ROAD,"AYR, KA8 0LL",01292 613000
MARTINS,LONDON ROAD,"BASINGSTOKE, RG24 7NZ",01256 867000
S.M.C.,168-170 OATLANDS DRIVE,"WEYBRIDGE, KT13 9ET",01932 855021
S.M.C.,WYCH HILL,"WOKING, GU22 0EU",01483 720322
MASTERS OF BECKENHAM LTD,150 UPPER ELMERS END ROAD,"BECKENHAM, BR3 3DZ",0208 650 9151
PERRYS MOTOR SALES LTD,GRIFFIN LANE,"AYLESBURY, HP198BY",01296 832981
RENAULT ORPINGTON,1 CROFTON ROAD,"ORPINGTON, BR6 8AB",01689 242146
LOOKERS NEWCASTLE - Parts Only,PORTLAND ROAD,"NEWCASTLE UPON TYNE, NE2 1AR",0191 232 4955
LOOKERS NEWCASTLE,6 BENFIELD ROAD,"NEWCASTLE UPON TYNE, NE6 5XA",0330 042 3320
PLATINUM,LOWER BRISTOL ROAD,"BATH, BA2 3DN",01225 485400
ARNOLD CLARK AUTOMOBILES LTD,FRANCHISE DEVELOPMENT DEPARTMENT,"GLASGOW, G64 1RP",0141 762 3004
STONEACRE BLACKBURN,QUARRY STREET,"BLACKBURN, BB1 5DE",01254 685190
RENAULT CANNOCK,EASTERN WAY,"CANNOCK, WS118XR",01543 602816
BRISTOL STREET BRADFORD,113 THORNTON ROAD,"BRADFORD, BD1 2EP",01274 931886
JOHN BANKS LTD,13 SWANNS ROAD,"CAMBRIDGE, CB5 8JZ",01223 351616
PARK'S,"UNIT 3, HALBEATH INTERCHANGE","DUNFERMLINE, KY11 7EG",01383 556 100
ARNOLD CLARK AUTOMOBILES LTD,361 ANNAN ROAD,"DUMFRIES, DG1 3JR",01387 261437
RIGHT CAR HULL,CLOUGH ROAD,"HULL, HU6 7PL",01482 343420
ARNOLD CLARK AUTOMOBILES LTD,2-6 RANNOCH DRIVE,"GLASGOW, G61 2JP",0141 942 5824
W.D. SEMPLE,SHORE STREET,"INVERARAY, PA32 8UF",01499 302150
HENDY BRIGHTON,CARDEN AVENUE,"BRIGHTON, BN1 8AF",01273 274444
HENDY POOLE,573 WALLISDOWN ROAD,"POOLE, BH12 5BA",01202 635000
RMB AUTOMOTIVE LTD,BARRINGTON WAY,"DARLINGTON, DL1 4WF",01325 525777
UNIVERSAL GARAGE (WHITBY) LIMITED,UNIT 7B ENTERPRISE WAY,"WHITBY, YO22 4NH",01947 602093
DEVCO M.V.S LTD,KENNEDY WAY,"TIVERTON, EX16 6RZ",01884 254318
HARTS OF HONITON,NORTHCOTE HILL,"HONITON, EX14 9UP",01404 540929
HENDY EASTLEIGH,MANOR WAY,"EASTLEIGH, SO50 9PT",02380 271271
WESSEX GARAGES,SEVEN STILES AVENUE,"NEWPORT, NP19 4QR",01633 636140
ARNOLD CLARK AUTOMOBILES LTD,454 HILLINGTON ROAD,"GLASGOW, G52 4FH",0141 810 2600
BROWNING (MELTON MOWBRAY) LTD,43 NORMAN WAY,"MELTON MOWBRAY, LE131JE",01664 560266
HENDY SALISBURY,BRUNEL ROAD,"SALISBURY, SP2 7PU",01722 412111
W R DAVIES,CONWY ROAD,"LLANDUDNO JUNCTION, LL319BA",01492 593444
RENAULT MANCHESTER,TRINITY WAY,"SALFORD, M3 7FT",0161 717 0091
ROXBY GARAGE LIMITED,THE CLOCK TOWER,"SOUTHAMPTON, SO31 9GQ",01489 572366
ARNOLD CLARK AUTOMOBILES LTD,DELPHWOOD DRIVE,"ST HELENS, WA9 5JE",01744 457000
EVANS HALSHAW,WHITE ROSE WAY,"DONCASTER, DN4 5JH",01302 363311
ARNOLD CLARK AUTOMOBILES LTD,HARBOUR ROAD,"INVERNESS, IV1 1LN",01463 222848
ARNOLD CLARK AUTOMOBILES LTD,GEMINI RETAIL PARK,"WARRINGTON, WA5 7TY",01925 575885
ARNOLD CLARK AUTOMOBILES LTD,2 LINKWOOD PLACE,"ELGIN, IV30 1HZ",01343 548383
ARNOLD CLARK AUTOMOBILES LTD,KERSE ROAD,"STIRLING, FK7 7RU",01786 472212
SUTTON PARK MOTOR COMPANY LIMITED,GAGARIN,"TAMWORTH, B79 7TP",01827 305080
ARNOLD CLARK AUTOMOBILES LTD,KINGSWAY EAST,"DUNDEE, DD4 7HG",01382 461199
ARNOLD CLARK AUTOMOBILES LTD,149 KILBIRNIE STREET,"GLASGOW, G5 8HX",0141 271 7440
ARNOLD CLARK AUTOMOBILES LTD,64 KIRKINTILLOCH ROAD,"GLASGOW, G64 2AH",0141 772 6481
MACKIE MOTORS (BRECHIN) LTD,46-48 CLERK STREET,"BRECHIN, DD9 6AY",01356 624511
PARK'S,228 HAMILTON ROAD,"MOTHERWELL, ML1 3DT",01698 264 162
ARNOLD CLARK AUTOMOBILES LTD,BEANCROSS ROAD,"GRANGEMOUTH, FK3 8YL",01324 495555
CHARLES HURST,547 ANTRIM ROAD,"NEWTOWNABBEY, BT36 4RF",0844 649 0848
CITY MOTORS,CASTLE COURT,"BRISTOL, BS4 3AX",0117 972 3030
ARNOLD CLARK AUTOMOBILES LTD,172 DUNKELD ROAD,"PERTH, PH1 3XJ",01738 620877
PARK'S,HIGH ROAD,"AYR, KA8 0LL",01292 613000
MARTINS,LONDON ROAD,"BASINGSTOKE, RG24 7NZ",01256 867000
S.M.C.,168-170 OATLANDS DRIVE,"WEYBRIDGE, KT13 9ET",01932 855021
S.M.C.,WYCH HILL,"WOKING, GU22 0EU",01483 720322
ARNOLD CLARK AUTOMOBILES LTD,FRANCHISE DEVELOPMENT DEPARTMENT,"GLASGOW, G64 1RP",0141 762 3004
ARNOLD CLARK AUTOMOBILES LTD,361 ANNAN ROAD,"DUMFRIES, DG1 3JR",01387 261437
ARNOLD CLARK AUTOMOBILES LTD,2-6 RANNOCH DRIVE,"GLASGOW, G61 2JP",0141 942 5824
BAGOT ROAD GARAGE LTD,BAGOT ROAD,"JERSEY, JE1 1BP",01534 815120
PV DOBSON AND SONS,BRIDGE END GARAGE,"KENDAL, LA8 8EL",01539 552441
KENT AUTO PANELS LIMITED,SHORNCLIFFE MOTOR PARK,"FOLKESTONE, CT20 3UJ",01303 249656
JCB CANTERBURY,VAUXHALL ROAD,"CANTERBURY, CT1 1HE",
SUTTON PARK MOTOR COMPANY LIMITED,99 NORTON ROAD,"STOURBRIDGE, DY8 2TB",01384 396655
FREELANCE (CI) LTD,BRAYE ROAD,"GUERNSEY, GY3 5PA",01481 242190
LOOKERS CHESTER,SEALAND ROAD,"CHESTER, CH1 4LQ",0330 019 8923
PENTAGON LINCOLN,OUTER CIRCLE ROAD,"LINCOLN, LN2 4LD",01522 525060
EDWIN MAY LTD,1 RIVERSIDE PARK SOUTH,"COLERAINE, BT51 3RT",028 7035 4321
EVANS HALSHAW,WESSINGTON WAY,"SUNDERLAND, SR5 3NX",0191 516 5300
BRISTOL STREET GLOUCESTER,3 RAMSDALE ROAD,"GLOUCESTER, GL2 5FE",01452 640700
LOOKERS CARLISLE,ROSEHILL ESTATE,"CARLISLE, CA1 2UR",0330 042 2819
WJ KING GROUP,171 THE BRENT,"DARTFORD, DA2 6DQ",01322 222171
WJ KING GROUP,573-579 PRINCES ROAD,"DARTFORD, DA2 6DZ",
SUTTON PARK MOTOR COMPANY LIMITED,ATHENA DRIVE,"WARWICK, CV34 6UL",01926 438800
H TONES & SONS LIMITED,BRENDA ROAD,"HARTLEPOOL, TS25 1PE",01429 221619
CARS2 BARNSLEY,PONTEFRACT ROAD,"BARNSLEY, S71 1AJ",01226 229211
RMB AUTOMOTIVE LTD,THURSTON ROAD,"NORTHALLERTON, DL6 2NA",01609 766690
ARNOLD CLARK AUTOMOBILES LTD,SCOT LANE,"WIGAN, WN5 0PS",01942 225565
RENAULT WOLVERHAMPTON BATTERY WORKSHOP,2-24 BILSTON ROAD,"WOLVERHAMPTON, WV2 2PT",01902 439500
EVANS HALSHAW,610 PENISTONE ROAD,"SHEFFIELD, S6 2FZ",0114 251 5100
MARTINS,COLEBROOK WAY,"ANDOVER, SP10 3BB",01264 355200
EAST BILNEY GARAGE LTD,FAKENHAM ROAD,"DEREHAM, NR204HL",01362 860511
ROGATE SERVICES LTD,EAST STREET,"PETERSFIELD, GU315EA",01730 821816
AUTOXP LIMITED,UNIT 3 EPS INDUSTRIAL ESTATE,"CHIPPING WARDEN, OX11 1LL",01494 471871
HOLDCROFT,LEEK ROAD,"STOKE ON TRENT, ST1 6AT",01782 214371
SHELBOURNE MOTORS,334 TANDRAGEE ROAD,"CRAIGAVON, BT62 3RB",028 3839 6808
PARK'S,CORSEHILL MOUNT ROAD,"IRVINE, KA114JZ",01294 221166
MOTOR MALL,EDEN BUSINESS PARK,"ISLE OF MAN, IM4 2AZ",01624 611200
PICADOR,512 PORTSMOUTH ROAD,"SOUTHAMPTON, SO19 9LZ",02380 425200
ARNOLD CLARK AUTOMOBILES LTD,DELPHWOOD DRIVE,"ST HELENS, WA9 5JE",01744 457000
EVANS HALSHAW,WHITE ROSE WAY,"DONCASTER, DN4 5JH",01302 363311
ARNOLD CLARK AUTOMOBILES LTD,HARBOUR ROAD,"INVERNESS, IV1 1LN",01463 222848
ARNOLD CLARK AUTOMOBILES LTD,GEMINI RETAIL PARK,"WARRINGTON, WA5 7TY",01925 575885
ARNOLD CLARK AUTOMOBILES LTD,2 LINKWOOD PLACE,"ELGIN, IV30 1HZ",01343 548383
ARNOLD CLARK AUTOMOBILES LTD,KERSE ROAD,"STIRLING, FK7 7RU",01786 472212
SUTTON PARK MOTOR COMPANY LIMITED,GAGARIN,"TAMWORTH, B79 7TP",01827 305080
ARNOLD CLARK AUTOMOBILES LTD,KINGSWAY EAST,"DUNDEE, DD4 7HG",01382 461199
ARNOLD CLARK AUTOMOBILES LTD,149 KILBIRNIE STREET,"GLASGOW, G5 8HX",0141 271 7440
ARNOLD CLARK AUTOMOBILES LTD,64 KIRKINTILLOCH ROAD,"GLASGOW, G64 2AH",0141 772 6481
MACKIE MOTORS (BRECHIN) LTD,46-48 CLERK STREET,"BRECHIN, DD9 6AY",01356 624511
PARK'S,228 HAMILTON ROAD,"MOTHERWELL, ML1 3DT",01698 264 162
ARNOLD CLARK AUTOMOBILES LTD,BEANCROSS ROAD,"GRANGEMOUTH, FK3 8YL",01324 495555
CHARLES HURST,547 ANTRIM ROAD,"NEWTOWNABBEY, BT36 4RF",0844 649 0848
CITY MOTORS,CASTLE COURT,"BRISTOL, BS4 3AX",0117 972 3030
ARNOLD CLARK AUTOMOBILES LTD,172 DUNKELD ROAD,"PERTH, PH1 3XJ",01738 620877
PARK'S,HIGH ROAD,"AYR, KA8 0LL",01292 613000
MARTINS,LONDON ROAD,"BASINGSTOKE, RG24 7NZ",01256 867000
S.M.C.,168-170 OATLANDS DRIVE,"WEYBRIDGE, KT13 9ET",01932 855021
S.M.C.,WYCH HILL,"WOKING, GU22 0EU",01483 720322
ARNOLD CLARK AUTOMOBILES LTD,FRANCHISE DEVELOPMENT DEPARTMENT,"GLASGOW, G64 1RP",0141 762 3004
ARNOLD CLARK AUTOMOBILES LTD,361 ANNAN ROAD,"DUMFRIES, DG1 3JR",01387 261437
ARNOLD CLARK AUTOMOBILES LTD,2-6 RANNOCH DRIVE,"GLASGOW, G61 2JP",0141 942 5824
SUTTON PARK MOTOR COMPANY LIMITED,99 NORTON ROAD,"STOURBRIDGE, DY8 2TB",01384 396655
EVANS HALSHAW,WESSINGTON WAY,"SUNDERLAND, SR5 3NX",0191 516 5300
WJ KING GROUP,171 THE BRENT,"DARTFORD, DA2 6DQ",01322 222171
EVANS HALSHAW SHEFFIELD - VAN SERVICE,7 ORGREAVE DRIVE,"SHEFFIELD, S13 9NR",01142 939200
JOHN POCKLINGTON LIMITED,NORTH HOLME ROAD,"LOUTH, LN11 0HS",01507 608080
T.C. AUTOS,52 KILLYCLOGHER ROAD,"OMAGH, BT797LP",028 8224 3451
WIMBLEDON ACCIDENT & REPAIR CENTRE,52 - 56 WEIR ROAD,"LONDON, SW19 8UG",020 8944 6660
TATES OF PORTSLADE,138 TRAFALGAR ROAD,"BRIGHTON, BN411GS",01273 275555
CLOCK GARAGE (CHORLEY) LTD,LYONS LANE,"CHORLEY, PR7 3BH",01257 268484
MANCHETTS NEWMARKET,UNIT 1 VICTORIA WAY,"NEWMARKET, CB8 7SH",01638 674490
WYLAM GARAGE LTD,1 BURN LANE,"HEXHAM, NE463HN",01434 602800
DALES CENTRAL MOTORS LTD,CHAPEL TOWN BUSINESS PARK,"NEWQUAY, TR8 5YA",01872 510888
GLYN HOPKIN COLCHESTER,WIMPOLE ROAD,"COLCHESTER, CO1 2GN",01206 603560
QUICKCO,BAILEYFIELD ROAD,"EDINBURGH, EH15 1BT",0131 669 6261
DALES CENTRAL MOTORS LTD,WHEAL ROSE,"REDRUTH, TR16 5BX",01209 821133
EVANS HALSHAW,1 BANKHEAD AVENUE,"EDINBURGH, EH11 4AA",0131 450 5300
BELLS OF CROSSGAR,1 DOWNPATRICK ROAD,"DOWNPATRICK, BT30 9EQ",02844 833233
ARNOLD CLARK AUTOMOBILES LTD,649 LEEDS ROAD,"HUDDERSFIELD, HD2 1YS",01484 412000
RENAULT LONDON WEST - VAN CENTRE,WESTERN AVENUE,"LONDON, W3 0RZ",
HOLDEN,HOLDEN GROUP BODY CENTRE,"NORWICH, NR3 2BH",01603 403822
"FISH BROTHERS, SWINDON",SWINDON BODY CENTRE,"SWINDON, SN2 6DU",01793 619578
